新函館北斗 しんはこだてほくと Shin-Hakodate-Hokuto
木古内 きこない Kikonai
奥津軽いまべつ おくつがるいまべつ Oku-Tsugaru-Imabetsu
新青森 しんあおもり Shin-Aomori
七戸十和田 しちのへとわだ Shichinohe-Towada
八戸 はちのへ Hachinohe
二戸 にのへ Ninohe
いわて沼宮内 いわてぬまくない Iwate-Numakunai

秋田 あきた Akita
大曲 おおまがり Ōmagari
角館 かくのだて Kakunodate
田沢湖 たざわこ Tazawako
雫石 しずくいし Shizukuishi
盛岡 もりおか Morioka

盛岡 もりおか Morioka
新花巻 しんはなまき Shin-Hanamaki
北上 きたかみ Kitakami
水沢江刺 みずさわえさし Mizusawa-Esashi
一ノ関 いちのせき Ichinoseki
くりこま高原 くりこまこうげん Kurikoma-Kōgen
古川 ふるかわ Furukawa
仙台 せんだい Sendai
白石蔵王 しろいしざおう Shiroishizaō

新庄 しんじょう Shinjō
大石田 おおいしだ Ōishida
村山 むらやま Murayama
さくらんぼ東根 さくらんぼひがしね Sakurambo-Higashine
天童 てんどう Tendō
山形 やまがた Yamagata
かみのやま温泉 かみのやまおんせん Kaminoyama-Onsen
赤湯 あかゆ Akayu
高畠 たかはた Takahata
米沢 よねざわ Yonezawa
福島 ふくしま Fukushima

福島 ふくしま Fukushima
郡山 こおりやま Kōriyama
新白河 しんしらかわ Shin-Shirakawa
那須塩原 なすしおばら Nasu-Shiobara
宇都宮 うつのみや Utsunomiya
小山 おやま Oyama
新潟 にいがた Niigata
燕三条 つばめさんじょう Tsubame-Sanjō
長岡 ながおか Nagaoka
浦佐 うらさ Urasa
ガーラ湯沢 がーらゆざわ Gala
越後湯沢 えちごゆざわ Echigo-Yuzawa
上毛高原 じょうもうこうげん Jōmō-Kōgen
金沢 かなざわ Kanazawa
新高岡 しんたかおか Shin-Takaoka
富山 とやま Toyama
黒部宇奈月温泉 くろべうなづきおんせん Kurobe-Unazukionsen
糸魚川 いといがわ Itoigawa
上越妙高 じょうえつみょうこう Jōetsumyōkō
飯山 いいやま Iiyama
長野 ながの Nagano
上田 うえだ Ueda
佐久平 さくだいら Sakudaira
軽井沢 かるいざわ Karuizawa
安中榛名 あんなかはるな Annaka-Haruna
高崎 たかさき Takasaki
高崎 たかさき Takasaki
本庄早稲田 ほんじょうわせだ Honjō-Waseda
熊谷 くまがや Kumagaya
大宮 おおみや Ōmiya
大宮 おおみや Ōmiya
上野 うえの Ueno
東京 とうきょう Tokyo
東京 とうきょう Tokyo
品川 しながわ Shinagawa
新横浜 しんよこはま Shin-Yokohama
小田原 おだわら Odawara
熱海 あたみ Atami
三島 みしま Mishima
新富士 しんふじ Shin-Fuji
静岡 しずおか Shizuoka
掛川 かけがわ Kakegawa
浜松 はままつ Hamamatsu
豊橋 とよはし Toyohashi
三河安城 みかわあんじょう Mikawa-Anjō
名古屋 なごや Nagoya
岐阜羽島 ぎふはしま Gifu-Hashima
米原 まいばら Maibara
京都 きょうと Kyoto
新大阪 しんおおさか Shin-Ōsaka
新大阪 しんおおさか Shin-Ōsaka
新神戸 しんこうべ Shin-Kobe
西明石 にしあかし Nishi-Akashi
姫路 ひめじ Himeji
相生 あいおい Aioi
岡山 おかやま Okayama
新倉敷 しんくらしき Shin-Kurashiki
福山 ふくやま Fukuyama
新尾道 しんおのみち Shin-Onomichi
三原 みはら Mihara
東広島 ひがしひろしま Higashi-Hiroshima
広島 ひろしま Hiroshima
新岩国 しんいわくに Shin-Iwakuni
徳山 とくやま Tokuyama
新山口 しんやまぐち Shin-Yamaguchi
厚狭 あさ Asa
新下関 しんしものせき Shin-Shimonoseki
小倉 こくら Kokura
博多 はかた Hakata
博多南 はかたみなみ Hakata-Minami
博多 はかた Hakata
新鳥栖 しんとす Shin-Tosu
久留米 くるめ Kurume
筑後船小屋 ちくごふなごや Chikugo-Funagoya
新大牟田 しんおおむた Shin-Ōmuta
新玉名 しんたまな Shin-Tamana
熊本 くまもと Kumamoto
新八代 しんやつしろ Shin-Yatsushiro
新水俣 しんみなまた Shin-Minamata
出水 いずみ Izumi
川内 せんだい Sendai
鹿児島中央 かごしまちゅうおう Kagoshima-Chūō
