東京 とうきょう Tokyo
上野 うえの Ueno
大宮 おおみや Ōmiya
小山 おやま Oyama
宇都宮 うつのみや Utsunomiya
那須塩原 なすしおばら Nasu-Shiobara
新白河 しんしらかわ Shin-Shirakawa
郡山 こおりやま Kōriyama
福島 ふくしま Fukushima
白石蔵王 しろいしざおう Shiroishizaō
仙台 せんだい Sendai
古川 ふるかわ Furukawa
くりこま高原 くりこまこうげん Kurikoma-Kōgen
一ノ関 いちのせき Ichinoseki
水沢江刺 みずさわえさし Mizusawa-Esashi
北上 きたかみ Kitakami
新花巻 しんはなまき Shin-Hanamaki
盛岡 もりおか Morioka
いわて沼宮内 いわてぬまくない Iwate-Numakunai
二戸 にのへ Ninohe
八戸 はちのへ Hachinohe
七戸十和田 しちのへとわだ Shichinohe-Towada
新青森 しんあおもり Shin-Aomori
奥津軽いまべつ おくつがるいまべつ Oku-Tsugaru-Imabetsu
木古内 きこない Kikonai
新函館北斗 しんはこだてほくと Shin-Hakodate-Hokuto
