あきのたの,かりほのいおの,とまをあらみ
はるすぎて,なつきにけらし,しろたえの
あしびきの,やまどりのおの,しだりおの
たごのうらに,うちいでてみれば,しろたえの
おくやまに,もみじふみわけ,なくしかの
かささぎの,わたせるはしに,おくしもの
あまのはら,ふりさけみれば,かすがなる
わがいおは,みやこのたつみ,しかぞすむ
はなのいろは,うつりにけりな,いたずらに
これやこの,ゆくもかえるも,わかれては
あいみての,のちのこころに,くらぶれば
わたのはら,やそしまかけて,こぎいでぬと
あまつかぜ,くものかよいじ,ふきとじよ
つくばねの,みねよりおつる,みなのがわ
みちのくの,しのぶもじずり,たれゆえに
きみがため,はるののにいでて,わかなつむ
たちわかれ,いなばのやまの,みねにおうる
ちはやぶる,かみよもきかず,たつたがわ
すみのえの,きしによるなみ,よるさえや
なにわがた,みじかきあしの,ふしのまも
わびぬれば,いまはたおなじ,なにわなる
いまこんと,いいしばかりに,ながつきの
ふくからに,あきのくさきの,しおるれば
つきみれば,ちぢにものこそ,かなしけれ
このたびは,ぬさもとりあえず,たむけやま
なにしおわば,おうさかやまの,さねかずら
おぐらやま,みねのもみじば,こころあらば
みかのはら,わきてながるる,いずみがわ
やまざとは,ふゆぞさびしさ,まさりける
こころあてに,おらばやおらん,はつしもの
ありあけの,つれなくみえし,わかれより
あさぼらけ,ありあけのつきと,みるまでに
やまがわに,かぜのかけたる,しがらみは
ひさかたの,ひかりのどけき,はるのひに
たれをかも,しるひとにせん,たかさごの
ひとはいさ,こころもしらず,ふるさとは
なつのよは,まだよいながら,あけぬるを
しらつゆに,かぜのふきしく,あきののは
わすらるる,みをばおもわず,ちかいてし
あさぢうの,おののしのはら,しのぶれど
しのぶれど,いろにいでにけり,わがこいは
こいすちょう,わがなはまだき,たちにけり
ちぎりきな,かたみにそでを,しぼりつつ
あうことの,たえてしなくば,なかなかに
あわれとも,いうべきひとは,おもおえで
ゆらのとを,わたるふなびと,かじをたえ
やえむぐら,しげれるやどの,さびしきに
かぜをいたみ,いわうつなみの,おのれのみ
みかきもり,えじのたくひの,よるはもえ
きみがため,おしからざりし,いのちさえ
かくとだに,えやはいぶきの,さしもぐさ
あけぬれば,くるるものとは,しりながら
なげきつつ,ひとりぬるよの,あくるまは
わすれじの,ゆくすえまでは,かたければ
たきのおとは,たえてひさしく,なりぬれど
あらざらん,このよのほかの,おもいでに
めぐりあいて,みしやそれとも,わかぬまに
ありまやま,いなのささはら,かぜふけば
やすらわで,ねなましものを,さよふけて
おおえやま,いくののみちの,とおければ
いにしえの,ならのみやこの,やえざくら
よをこめて,とりのそらねは,はかるとも
いまはただ,おもいたえなん,とばかりを
あさぼらけ,うじのかわぎり,たえだえに
うらみわび,ほさぬそでだに,あるものを
もろともに,あわれとおもえ,やまざくら
はるのよの,ゆめばかりなる,たまくらに
こころにも,あらでうきよに,ながらえば
あらしふく,みむろのやまの,もみじばは
さびしさに,やどをたちいでて,ながむれば
ゆうされば,かどたのいなば,おとずれて
おとにきく,たかしのはまの,あだなみは
たかさごの,おのえのさくら,さきにけり
うかりける,ひとをはつせの,やまおろしよ
ちぎりおきし,させもがつゆを,いのちにて
わたのはら,こぎいでてみれば,ひさかたの
せをはやみ,いわにせかるる,たきがわの
あわじしま,かようちどりの,なくこえに
あきかぜに,たなびくくもの,たえまより
ながからん,こころもしらず,くろかみの
ほととぎす,なきつるかたを,ながむれば
おもいわび,さてもいのちは,あるものを
よのなかよ,みちこそなけれ,おもいいる
ながらえば,またこのごろや,しのばれん
よもすがら,ものおもうころは,あけやらで
なげけとて,つきやはものを,おもわする
むらさめの,つゆもまだひぬ,まきのはに
なにわえの,あしのかりねの,ひとよゆえ
たまのおよ,たえなばたえね,ながらえば
みせばやな,おじまのあまの,そでだにも
きりぎりす,なくやしもよの,さむしろに
わがそでは,しおひにみえぬ,おきのいしの
よのなかは,つねにもがもな,なぎさこぐ
みよしのの,やまのあきかぜ,さよふけて
おおけなく,うきよのたみに,おおうかな
はなさそう,あらしのにわの,ゆきならで
こぬひとを,まつほのうらの,ゆうなぎに
かぜそよぐ,ならのおがわの,ゆうぐれは
ひともおし,ひともうらめし,あじきなく
ももしきや,ふるきのきばの,しのぶにも
