あきのたの,かりほのいおの,とまをあらみ,わがころもでは,つゆにぬれつつ
はるすぎて,なつきにけらし,しろたえの,ころもほすちょう,あまのかぐやま
あしびきの,やまどりのおの,しだりおの,ながながしよを,ひとりかもねん
たごのうらに,うちいでてみれば,しろたえの,ふじのたかねに,ゆきはふりつつ
おくやまに,もみじふみわけ,なくしかの,こえきくときぞ,あきはかなしき
かささぎの,わたせるはしに,おくしもの,しろきをみれば,よぞふけにける
あまのはら,ふりさけみれば,かすがなる,みかさのやまに,いでしつきかも
わがいおは,みやこのたつみ,しかぞすむ,よをうじやまと,ひとはいうなり
はなのいろは,うつりにけりな,いたずらに,わがみよにふる,ながめせしまに
これやこの,ゆくもかえるも,わかれては,しるもしらぬも,おうさかのせき
あいみての,のちのこころに,くらぶれば,むかしはものを,おもわざりけり
わたのはら,やそしまかけて,こぎいでぬと,ひとにはつげよ,あまのつりぶね
あまつかぜ,くものかよいじ,ふきとじよ,おとめのすがた,しばしとどめん
つくばねの,みねよりおつる,みなのがわ,こいぞつもりて,ふちとなりぬる
みちのくの,しのぶもじずり,たれゆえに,みだれそめにし,われならなくに
きみがため,はるののにいでて,わかなつむ,わがころもでに,ゆきはふりつつ
たちわかれ,いなばのやまの,みねにおうる,まつとしきかば,いまかえりこん
ちはやぶる,かみよもきかず,たつたがわ,からくれないに,みずくくるとは
すみのえの,きしによるなみ,よるさえや,ゆめのかよいじ,ひとめよくらん
なにわがた,みじかきあしの,ふしのまも,あわでこのよを,すぐしてよとや
わびぬれば,いまはたおなじ,なにわなる,みをつくしても,あわんとぞおもう
いまこんと,いいしばかりに,ながつきの,ありあけのつきを,まちいでつるかな
ふくからに,あきのくさきの,しおるれば,むべやまかぜを,あらしというらん
つきみれば,ちぢにものこそ,かなしけれ,わがみひとつの,あきにはあらねど
このたびは,ぬさもとりあえず,たむけやま,もみじのにしき,かみのまにまに
なにしおわば,おうさかやまの,さねかずら,ひとにしられで,くるよしもがな
おぐらやま,みねのもみじば,こころあらば,いまひとたびの,みゆきまたなん
みかのはら,わきてながるる,いずみがわ,いつみきとてか,こいしかるらん
やまざとは,ふゆぞさびしさ,まさりける,ひとめもくさも,かれぬとおもえば
こころあてに,おらばやおらん,はつしもの,おきまどわせる,しらぎくのはな
ありあけの,つれなくみえし,わかれより,あかつきばかり,うきものはなし
あさぼらけ,ありあけのつきと,みるまでに,よしののさとに,ふれるしらゆき
やまがわに,かぜのかけたる,しがらみは,ながれもあえぬ,もみじなりけり
ひさかたの,ひかりのどけき,はるのひに,しずこころなく,はなのちるらん
たれをかも,しるひとにせん,たかさごの,まつもむかしの,ともならなくに
ひとはいさ,こころもしらず,ふるさとは,はなぞむかしの,かににおいける
なつのよは,まだよいながら,あけぬるを,くものいずこに,つきやどるらん
しらつゆに,かぜのふきしく,あきののは,つらぬきとめぬ,たまぞちりける
わすらるる,みをばおもわず,ちかいてし,ひとのいのちの,おしくもあるかな
あさぢうの,おののしのはら,しのぶれど,あまりてなどか,ひとのこいしき
しのぶれど,いろにいでにけり,わがこいは,ものやおもうと,ひとのとうまで
こいすちょう,わがなはまだき,たちにけり,ひとしれずこそ,おもいそめしか
ちぎりきな,かたみにそでを,しぼりつつ,すえのまつやま,なみこさじとは
あうことの,たえてしなくば,なかなかに,ひとをもみをも,うらみざらまし
あわれとも,いうべきひとは,おもおえで,みのいたずらに,なりぬべきかな
ゆらのとを,わたるふなびと,かじをたえ,ゆくえもしらぬ,こいのみちかな
やえむぐら,しげれるやどの,さびしきに,ひとこそみえね,あきはきにけり
かぜをいたみ,いわうつなみの,おのれのみ,くだけてものを,おもうころかな
みかきもり,えじのたくひの,よるはもえ,ひるはきえつつ,ものをこそおもえ
きみがため,おしからざりし,いのちさえ,ながくもがなと,おもいけるかな
かくとだに,えやはいぶきの,さしもぐさ,さしもしらじな,もゆるおもいを
あけぬれば,くるるものとは,しりながら,なおうらめしき,あさぼらけかな
