わがころもでは,つゆにぬれつつ
ころもほすちょう,あまのかぐやま
ながながしよを,ひとりかもねん
ふじのたかねに,ゆきはふりつつ
こえきくときぞ,あきはかなしき
しろきをみれば,よぞふけにける
みかさのやまに,いでしつきかも
よをうじやまと,ひとはいうなり
わがみよにふる,ながめせしまに
しるもしらぬも,おうさかのせき
むかしはものを,おもわざりけり
ひとにはつげよ,あまのつりぶね
おとめのすがた,しばしとどめん
こいぞつもりて,ふちとなりぬる
みだれそめにし,われならなくに
わがころもでに,ゆきはふりつつ
まつとしきかば,いまかえりこん
からくれないに,みずくくるとは
ゆめのかよいじ,ひとめよくらん
あわでこのよを,すぐしてよとや
みをつくしても,あわんとぞおもう
ありあけのつきを,まちいでつるかな
むべやまかぜを,あらしというらん
わがみひとつの,あきにはあらねど
もみじのにしき,かみのまにまに
ひとにしられで,くるよしもがな
いまひとたびの,みゆきまたなん
いつみきとてか,こいしかるらん
ひとめもくさも,かれぬとおもえば
おきまどわせる,しらぎくのはな
あかつきばかり,うきものはなし
よしののさとに,ふれるしらゆき
ながれもあえぬ,もみじなりけり
しずこころなく,はなのちるらん
まつもむかしの,ともならなくに
はなぞむかしの,かににおいける
くものいずこに,つきやどるらん
つらぬきとめぬ,たまぞちりける
ひとのいのちの,おしくもあるかな
あまりてなどか,ひとのこいしき
ものやおもうと,ひとのとうまで
ひとしれずこそ,おもいそめしか
すえのまつやま,なみこさじとは
ひとをもみをも,うらみざらまし
みのいたずらに,なりぬべきかな
ゆくえもしらぬ,こいのみちかな
ひとこそみえね,あきはきにけり
くだけてものを,おもうころかな
ひるはきえつつ,ものをこそおもえ
ながくもがなと,おもいけるかな
さしもしらじな,もゆるおもいを
なおうらめしき,あさぼらけかな
いかにひさしき,ものとかはしる
きょうをかぎりの,いのちともがな
なこそながれて,なおきこえけれ
いまひとたびの,あうこともがな
くもがくれにし,よはのつきかな
いでそよひとを,わすれやはする
かたぶくまでの,つきをみしかな
まだふみもみず,あまのはしだて
きょうここのえに,においぬるかな
よにおうさかの,せきはゆるさじ
ひとずてならで,いうよしもがな
あらわれわたる,せぜのあじろぎ
こいにくちなん,なこそおしけれ
はなよりほかに,しるひともなし
かいなくたたん,なこそおしけれ
こいしかるべき,よわのつきかな
たつたのかわの,にしきなりけり
いずこもおなじ,あきのゆうぐれ
あしのまろやに,あきかぜぞふく
かけじやそでの,ぬれもこそすれ
とやまのかすみ,たたずもあらなん
はげしかれとは,いのらぬものを
あわれことしの,あきもいぬめり
くもいにまごう,おきつしらなみ
われてもすえに,あわんとぞおもう
いくよねざめぬ,すまのせきもり
もれいずるつきの,かげのさやけさ
みだれてけさは,ものをこそおもえ
ただありあけの,つきぞのこれる
うきにたえぬは,なみだなりけり
やまのおくにも,しかぞなくなる
うしとみしよぞ,いまはこいしき
ねやのひまさえ,つれなかりけり
かこちがおなる,わがなみだかな
きりたちのぼる,あきのゆうぐれ
みをつくしてや,こいわたるべき
しのぶることの,よわりもぞする
ぬれにぞぬれし,いろはかわらず
ころもかたしき,ひとりかもねん
ひとこそしらね,かわくまもなし
あまのおぶねの,つなでかなしも
ふるさとさむく,ころもうつなり
わがたつそまに,すみぞめのそで
ふりゆくものは,わがみなりけり
やくやもしおの,みもこがれつつ
みそぎぞなつの,しるしなりける
よをおもうゆえに,ものおもうみは
なおあまりある,むかしなりけり
